path,label,img_name_no_ext,filepath,filename,md5,CAMID,X,View,zenodo_name,zenodo_link,Sequence,Taxonomic_Name,Locality,Sample_accession,Collected_by,Other_ID,Date,Dataset,Store,Brood,Death_Date,Stage,Sex,Unit_Type,file_type,record_number,species,subspecies,genus,file_url
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. ecuadorensis/CAM009120_d.png,Heliconius melpomene ssp. ecuadorensis,CAM009120_d,model_mimic_images/Heliconius melpomene ssp. ecuadorensis/CAM009120_d.JPG,CAM009120_d.JPG,80c34104429e9b7b531867b9b55ba3c5,CAM009120,10209,dorsal,CAM.coll.images.batch6.csv,https://zenodo.org/record/2686762,"9,120",Heliconius melpomene ssp. ecuadorensis,Old Zamora Road,,,,09/12/2006,Heliconiine Butterfly Collection Records from University of Cambridge,Box 33,,,,Male,wild,jpg,2686762,Heliconius melpomene,ecuadorensis,Heliconius,https://zenodo.org/record/2686762/files/CAM009120_d.JPG
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. ecuadorensis/9121_H_m_ecuadorensis_D.png,Heliconius melpomene ssp. ecuadorensis,9121_H_m_ecuadorensis_D,model_mimic_images/Heliconius melpomene ssp. ecuadorensis/9121_H_m_ecuadorensis_D.JPG.jpg,9121_H_m_ecuadorensis_D.JPG.jpg,d53b79f77d12e7da1eb2ddf17418de9c,CAM009121,26067,dorsal,Heliconius_wing_old_photos_2001_2019_part3.csv,https://zenodo.org/record/2553977,"9,121",Heliconius melpomene ssp. ecuadorensis,Old Zamora Road,ERS977696,,,09/12/2006,Heliconiine Butterfly Collection Records from University of Cambridge,Box 33,,,,Male,wild,jpg,2553977,Heliconius melpomene,ecuadorensis,Heliconius,https://zenodo.org/record/2553977/files/9121_H_m_ecuadorensis_D.JPG.jpg
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. ecuadorensis/9117_H_m_ecuadorensis_D.png,Heliconius melpomene ssp. ecuadorensis,9117_H_m_ecuadorensis_D,model_mimic_images/Heliconius melpomene ssp. ecuadorensis/9117_H_m_ecuadorensis_D.JPG.jpg,9117_H_m_ecuadorensis_D.JPG.jpg,d10fcc5232e4c994d32e8181cb6e71e1,CAM009117,26065,dorsal,Heliconius_wing_old_photos_2001_2019_part3.csv,https://zenodo.org/record/2553977,"9,117",Heliconius melpomene ssp. ecuadorensis,Old Zamora Road,ERS977695,,,10/12/2006,Heliconiine Butterfly Collection Records from University of Cambridge,Box 33,,,,Male,wild,jpg,2553977,Heliconius melpomene,ecuadorensis,Heliconius,https://zenodo.org/record/2553977/files/9117_H_m_ecuadorensis_D.JPG.jpg
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. ecuadorensis/CAM009119_d.png,Heliconius melpomene ssp. ecuadorensis,CAM009119_d,model_mimic_images/Heliconius melpomene ssp. ecuadorensis/CAM009119_d.JPG,CAM009119_d.JPG,709257d38e9ea5ea1e25696ae4b9c98a,CAM009119,10207,dorsal,CAM.coll.images.batch6.csv,https://zenodo.org/record/2686762,"9,119",Heliconius melpomene ssp. ecuadorensis,Old Zamora Road,ERS3953800,,,10/12/2006,Heliconiine Butterfly Collection Records from University of Cambridge,Box 33,,,,Male,wild,jpg,2686762,Heliconius melpomene,ecuadorensis,Heliconius,https://zenodo.org/record/2686762/files/CAM009119_d.JPG
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. ecuadorensis/CAM009141_d.png,Heliconius melpomene ssp. ecuadorensis,CAM009141_d,model_mimic_images/Heliconius melpomene ssp. ecuadorensis/CAM009141_d.JPG,CAM009141_d.JPG,8c2811b3a7bac924e0e0c60739c42f98,CAM009141,10251,dorsal,CAM.coll.images.batch6.csv,https://zenodo.org/record/2686762,"9,141",Heliconius melpomene ssp. ecuadorensis,"Rio Abanico, Macas",,,,11/12/2006,Heliconiine Butterfly Collection Records from University of Cambridge,Box 33,,,,Male,wild,jpg,2686762,Heliconius melpomene,ecuadorensis,Heliconius,https://zenodo.org/record/2686762/files/CAM009141_d.JPG
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. ecuadorensis/CAM009114_d.png,Heliconius melpomene ssp. ecuadorensis,CAM009114_d,model_mimic_images/Heliconius melpomene ssp. ecuadorensis/CAM009114_d.JPG,CAM009114_d.JPG,8f673b4d0dd603d4e73d08e2b2ab8295,CAM009114,10197,dorsal,CAM.coll.images.batch6.csv,https://zenodo.org/record/2686762,"9,114",Heliconius melpomene ssp. ecuadorensis,Old Zamora Road,ERS3953796,,,10/12/2006,Heliconiine Butterfly Collection Records from University of Cambridge,Box 33,,,,Male,wild,jpg,2686762,Heliconius melpomene,ecuadorensis,Heliconius,https://zenodo.org/record/2686762/files/CAM009114_d.JPG
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. ecuadorensis/CAM009118_d.png,Heliconius melpomene ssp. ecuadorensis,CAM009118_d,model_mimic_images/Heliconius melpomene ssp. ecuadorensis/CAM009118_d.JPG,CAM009118_d.JPG,733d3d21327d29ff8a2ea39caaf1a6d3,CAM009118,10205,dorsal,CAM.coll.images.batch6.csv,https://zenodo.org/record/2686762,"9,118",Heliconius melpomene ssp. ecuadorensis,Old Zamora Road,ERS3953799,,,10/12/2006,Heliconiine Butterfly Collection Records from University of Cambridge,Box 33,,,,Male,wild,jpg,2686762,Heliconius melpomene,ecuadorensis,Heliconius,https://zenodo.org/record/2686762/files/CAM009118_d.JPG
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. ecuadorensis/CAM009113_d.png,Heliconius melpomene ssp. ecuadorensis,CAM009113_d,model_mimic_images/Heliconius melpomene ssp. ecuadorensis/CAM009113_d.JPG,CAM009113_d.JPG,3404d1bff45f8d884fd5e25b287876a1,CAM009113,10195,dorsal,CAM.coll.images.batch6.csv,https://zenodo.org/record/2686762,"9,113",Heliconius melpomene ssp. ecuadorensis,Old Zamora Road,ERS3953775,,,10/12/2006,Heliconiine Butterfly Collection Records from University of Cambridge,Box 33,,,,Male,wild,jpg,2686762,Heliconius melpomene,ecuadorensis,Heliconius,https://zenodo.org/record/2686762/files/CAM009113_d.JPG
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. ecuadorensis/CAM009111_d.png,Heliconius melpomene ssp. ecuadorensis,CAM009111_d,model_mimic_images/Heliconius melpomene ssp. ecuadorensis/CAM009111_d.JPG,CAM009111_d.JPG,59df16d9bc461106930250b9157a6cbc,CAM009111,10191,dorsal,CAM.coll.images.batch6.csv,https://zenodo.org/record/2686762,"9,111",Heliconius melpomene ssp. ecuadorensis,Old Zamora Road,ERS074428,,,10/12/2006,Heliconiine Butterfly Collection Records from University of Cambridge,Box 33,,,,Male,wild,jpg,2686762,Heliconius melpomene,ecuadorensis,Heliconius,https://zenodo.org/record/2686762/files/CAM009111_d.JPG
/fs/ess/PAS2136/Butterfly/Model_Mimic/model_mimic_images_dorsal/Heliconius melpomene ssp. ecuadorensis/CAM009115_d.png,Heliconius melpomene ssp. ecuadorensis,CAM009115_d,model_mimic_images/Heliconius melpomene ssp. ecuadorensis/CAM009115_d.JPG,CAM009115_d.JPG,fc2e7b6f3691c62b224a26b32647982a,CAM009115,10199,dorsal,CAM.coll.images.batch6.csv,https://zenodo.org/record/2686762,"9,115",Heliconius melpomene ssp. ecuadorensis,Old Zamora Road,ERS3953797,,,10/12/2006,Heliconiine Butterfly Collection Records from University of Cambridge,Box 33,,,,Male,wild,jpg,2686762,Heliconius melpomene,ecuadorensis,Heliconius,https://zenodo.org/record/2686762/files/CAM009115_d.JPG
